            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,        Sensor,          Gain
1544582580,           2018-12-12 02:43:00,           2018-12-11 20:43:00,3.09,3.665,94.72607,10
1544583180,           2018-12-12 02:53:00,           2018-12-11 20:53:00,3.09,3.707,101.404,10
1544583780,           2018-12-12 03:03:00,           2018-12-11 21:03:00,3.09,3.707,94.11936,10
1544584380,           2018-12-12 03:13:00,           2018-12-11 21:13:00,3.09,3.675,94.19751,10
1544584980,           2018-12-12 03:23:00,           2018-12-11 21:23:00,3.09,3.633,93.80607,10
1544585580,           2018-12-12 03:33:00,           2018-12-11 21:33:00,3.09,3.696,94.9379,10
1544586180,           2018-12-12 03:43:00,           2018-12-11 21:43:00,3.09,3.717,95.38419,10
1544586780,           2018-12-12 03:53:00,           2018-12-11 21:53:00,3.09,3.717,95.25874,10
1544587380,           2018-12-12 04:03:00,           2018-12-11 22:03:00,3.09,3.675,94.32503,10
1544587980,           2018-12-12 04:13:00,           2018-12-11 22:13:00,3.09,3.644,94.8241,10
1544588580,           2018-12-12 04:23:00,           2018-12-11 22:23:00,3.09,3.675,94.9523,10
1544589180,           2018-12-12 04:33:00,           2018-12-11 22:33:00,3.09,3.623,94.02818,10
1544589780,           2018-12-12 04:43:00,           2018-12-11 22:43:00,3.09,3.707,94.30035,10
1544590380,           2018-12-12 04:53:00,           2018-12-11 22:53:00,3.09,3.675,94.36684,10
1544590980,           2018-12-12 05:03:00,           2018-12-11 23:03:00,3.09,3.696,94.18929,10
1544591580,           2018-12-12 05:13:00,           2018-12-11 23:13:00,3.09,3.665,95.36774,10
1544592180,           2018-12-12 05:23:00,           2018-12-11 23:23:00,3.09,3.696,95.57135,10
1544592780,           2018-12-12 05:33:00,           2018-12-11 23:33:00,3.09,3.707,93.64771,10
1544593380,           2018-12-12 05:43:00,           2018-12-11 23:43:00,3.09,3.675,97.58479,10
1544593980,           2018-12-12 05:53:00,           2018-12-11 23:53:00,3.09,3.654,94.42786,10
1544594580,           2018-12-12 06:03:00,           2018-12-12 00:03:00,3.09,3.686,94.89266,10
1544595180,           2018-12-12 06:13:00,           2018-12-12 00:13:00,3.09,3.675,94.00967,10
1544595780,           2018-12-12 06:23:00,           2018-12-12 00:23:00,3.08,3.686,94.66574,10
1544596380,           2018-12-12 06:33:00,           2018-12-12 00:33:00,3.09,3.644,95.55969,10
1544596980,           2018-12-12 06:43:00,           2018-12-12 00:43:00,3.09,3.686,94.41415,10
1544597580,           2018-12-12 06:53:00,           2018-12-12 00:53:00,3.09,3.665,93.47495,10
1544598180,           2018-12-12 07:03:00,           2018-12-12 01:03:00,3.09,3.707,93.90136,10
1544598780,           2018-12-12 07:13:00,           2018-12-12 01:13:00,3.09,3.686,92.86413,10
1544599380,           2018-12-12 07:23:00,           2018-12-12 01:23:00,3.09,3.686,94.32434,10
1544599980,           2018-12-12 07:33:00,           2018-12-12 01:33:00,3.08,3.696,94.12827,10
1544600580,           2018-12-12 07:43:00,           2018-12-12 01:43:00,3.09,3.696,94.01927,10
1544601180,           2018-12-12 07:53:00,           2018-12-12 01:53:00,3.08,3.707,94.37096,10
1544601780,           2018-12-12 08:03:00,           2018-12-12 02:03:00,3.09,3.696,96.01901,10
1544602380,           2018-12-12 08:13:00,           2018-12-12 02:13:00,3.09,3.623,93.88011,10
1544602980,           2018-12-12 08:23:00,           2018-12-12 02:23:00,3.08,3.654,92.69823,10
1544603580,           2018-12-12 08:33:00,           2018-12-12 02:33:00,3.08,3.644,95.88738,10
1544604180,           2018-12-12 08:43:00,           2018-12-12 02:43:00,3.08,3.675,93.30288,10
1544604780,           2018-12-12 08:53:00,           2018-12-12 02:53:00,3.09,3.686,93.81841,10
1544605380,           2018-12-12 09:03:00,           2018-12-12 03:03:00,3.09,3.686,98.74474,10
