Serial Number:20472265 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2020-05-24 17:45:51,78.64,691, , , , 
2020-05-24 17:55:51,77.40,670, , , , 
2020-05-24 18:05:51,77.01,901, , , , 
2020-05-24 18:15:51,77.32,311, , , , 
2020-05-24 18:25:51,77.56,256, , , , 
2020-05-24 18:35:51,77.17,281, , , , 
2020-05-24 18:45:51,77.40,320, , , , 
2020-05-24 18:55:51,76.94,357, , , , 
2020-05-24 19:05:51,77.25,264, , , , 
2020-05-24 19:15:51,76.78,213, , , , 
2020-05-24 19:25:51,76.94,182, , , , 
2020-05-24 19:35:51,76.78,123, , , , 
2020-05-24 19:45:51,76.63,96, , , , 
2020-05-24 19:55:51,76.40,87, , , , 
2020-05-24 20:05:51,76.17,58, , , , 
2020-05-24 20:15:51,75.93,44, , , , 
2020-05-24 20:25:51,75.70,23, , , , 
2020-05-24 20:35:51,75.47,8, , , , 
2020-05-24 20:45:51,75.39,3, , , , 
2020-05-24 20:55:51,75.32,1, , , , 
2020-05-24 21:05:51,75.08,0, , , , 
2020-05-24 21:15:51,74.93,0, , , , 
2020-05-24 21:25:51,74.70,0, , , , 
2020-05-24 21:35:51,74.47,0, , , , 
2020-05-24 21:45:51,74.39,0, , , , 
2020-05-24 21:55:51,74.31,0, , , , 
2020-05-24 22:05:51,74.16,0, , , , 
2020-05-24 22:15:51,73.93,0, , , , 
2020-05-24 22:25:51,73.85,0, , , , 
2020-05-24 22:35:51,73.77,0, , , , 
2020-05-24 22:45:51,73.62,0, , , , 
2020-05-24 22:55:51,73.62,0, , , , 
2020-05-24 23:05:51,73.62,0, , , , 
2020-05-24 23:15:51,73.46,0, , , , 
2020-05-24 23:25:51,73.46,0, , , , 
2020-05-24 23:35:51,73.31,0, , , , 
2020-05-24 23:45:51,73.23,0, , , , 
2020-05-24 23:55:51,73.08,0, , , , 
2020-05-25 00:05:51,73.00,0, , , , 
